Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average power (w),Max power (w),Min power (w),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Unknown duration (ms),Walking duration (ms),Running duration (ms),Stationary biking duration (ms),Hiking duration (ms),Sleep duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),REM sleeping duration (ms),Awake mid-sleeping duration (ms)
2018-11-25,68,1584.3567635866355,7674.293734073639,26.0,24,,,,-23.5411721,-46.7129138,-23.5219827,-46.6478913,,,,0.6606029451025812,23.830286026000977,0.25145459175109863,4237,,,,1080835,76684601,,2777032,,,,,,,,
2018-11-26,138,1673.9475902235731,5526.7648413181305,79.0,68,,,,-23.5676422,-46.7362852,-23.556265,-46.7300093,,,,0.939718062326367,6.759764671325684,0.08821336925029755,10965,,,,1431474,72085045,,5517736,,,,,,,,
2018-11-27,101,1755.0821985268503,4657.280374109745,37.0,31,,,,-23.5582344,-46.6618244,-23.5539981,-46.6577312,,,,0.8987273769291584,8.926380157470703,0.02669735811650753,8837,,,,,69521113,,8877910,,,,,,,,
2018-11-28,105,1515.391729915162,2406.2707533836365,27.0,25,,,,-23.5643617,-46.7086969,-23.5356419,-46.6539611,,,,0.9729291946872471,4.398435592651367,0.07489793002605438,6737,,,,808528,78007789,,2615401,,,,,,,,
2018-11-29,231,2071.5898878667576,30416.064966082573,164.0,163,,,,-23.5701506,-46.7091426,-23.5250445,-46.6390122,,,,1.828495040759889,7.394333362579346,0.007308701518923044,11702,,,,6478054,66913818,,10108343,,,,,,,,
2018-11-30,193,1991.7919442070663,24421.811818242073,108.0,108,,,,-23.5722176,-46.7361116,-23.5399525,-46.6537553,,,,1.2072299341535313,8.227725982666016,0.04165036231279373,7244,57.0,57.0,57.0,5977568,72090960,,7339581,,,,,,,,
2018-12-01,223,2009.3856025309105,15068.26845407486,104.0,102,,,,-23.5696888,-46.7111323,-23.5358222,-46.6594399,,,,1.6311663831723304,8.893863677978516,0.2463633269071579,13859,,,,3731683,64032845,,11030488,,,,,,,,
2018-12-02,444,2716.752556810049,35261.89368772507,322.0,321,,,,-23.9690617,-46.6986821,-23.5410843,-46.3308228,,,,2.2804466827770216,19.193416595458984,0.053589459508657455,10889,,,,18256889,41657578,,10970252,,,,,,,,
2018-12-03,26,1323.3924751463214,39.09585952758789,2.0,2,,,,,,,,,,,0.7914136218289274,2.4018094539642334,0.5169695019721985,1814,58.400001525878906,58.400001525878906,58.400001525878906,,84714824,,59765,,,,,,,,
2018-12-04,149,1785.6863543700113,34378.05598270893,129.0,128,,,,-23.5720863,-46.7388553,-23.5358346,-46.6615974,,,,3.3036764686097158,20.547521591186523,0.0454646497964859,1854,58.79999923706055,58.79999923706055,58.79999923706055,7687821,76176038,,2536141,,,,,,,,
